PROVINCIE,BRIN,INSTELLINGSCODE,VESTIGINGSCODE,NAAM,STRAATNAAM,HUISNUMMER,POSTCODE,PLAATSNAAM,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,ONDERWIJSSTRUCTUUR,VAKANTIEREGIO
Limburg,41391,02ZR,02ZR06,Het College voor Lyc Havo Mavo Vbo lwoo,Kazernelaan,101,6006 SP,WEERT,WEERT,Bijzonder, , ,BRUGJAAR,Zuid
Limburg,41391,05FJ,05FJ00,Emmacollege voor Mavo Kbl en BBL,De Weggebekker,1,6413 NR,HEERLEN,HEERLEN,Bijzonder,455224040,www.emma-lvo.nl,VBO/MAVO,Zuid
Limburg,41391,05FJ,05FJ01,Emmacollege voor Havo Mavo Vbo Lwoo locatie Broekland,Polderstraat,4,6431 LE,HOENSBROEK,HEERLEN,Bijzonder,455213675,www.broekland-lvo.nl,VBO/MAVO/HAVO,Zuid
Limburg,41391,05FJ,05FJ11,Emmacollege voor Havo Mavo Vbo Lwoo,Schandelermolenweg,21,6415 GG,HEERLEN,HEERLEN,Bijzonder,880272600,www.tcpl.nl,VBO,Zuid
Limburg,41391,05FJ,05FJ12,Emmacollege voor Havo Mavo Vbo Lwoo,Schoolstraat,16,6443 BT,BRUNSSUM,BRUNSSUM,Bijzonder,455224040,www.emma-lvo.nl,BRUGJAAR,Zuid
Limburg,41391,05GV,05GV00,DaCapo-College Einighauserweg,Einighauserweg,25,6163 AK,GELEEN,SITTARD-GELEEN,Bijzonder,467820700, ,PRO,Zuid
Limburg,41391,16SL,16SL00,Sint-Janscollege voor Vwo Havo,Amstenraderweg,122,6431 EN,HOENSBROEK,HEERLEN,Bijzonder,455218666,www.sintjan-lvo.nl,HAVO/VWO,Zuid
Limburg,41391,18DD,18DD00,Scholengemeenschap Philips van Horne voor LYC HAVO MAVO VBO LWOO,Herenstraat,298,6004 XL,WEERT,WEERT,Bijzonder,495431030,www.pvanhorne.nl,VBO/MAVO/HAVO/VWO,Zuid
Limburg,41391,18DD,18DD02,Scholengemeenschap Philips van Horne voor Lyc Havo Mavo Vbo Lwoo loc. Kwadrant,Thornstraat,7,6004 JP,WEERT,WEERT,Bijzonder,495513666,www.hetkwadrant.nl,VBO/MAVO/PRO,Zuid
Limburg,41391,18DO,18DO00,Compass voor Atheneum Havo en Mavo,Schoolstraat,16,6443 BT,BRUNSSUM,BRUNSSUM,Bijzonder,455258616,www.compass-lvo.nl,MAVO/HAVO/VWO,Zuid
Limburg,41391,18DO,18DO02,Compass voor Atheneum Havo en Mavo locatie Vrijeschool Parkstad,Akerstraat,115,6417 BM,HEERLEN,HEERLEN,Bijzonder,455742941,www.vrijeschoolparkstad.nl,MAVO/HAVO/VWO,Zuid
Limburg,41391,19PV,19PV00,Graaf Huyn College voor LYC HAVO MAVO VBO LWOO,Jos Klijnenlaan,683,6164 AP,GELEEN,SITTARD-GELEEN,Bijzonder,464236400,www.ghc.nl,VBO/MAVO/HAVO/VWO,Zuid
Limburg,41391,20IS,20IS00,Stella Maris College voor Lyc Havo Mavo Vbo Lwoo,Parallelweg,56,6231 CJ,MEERSSEN,MEERSSEN,Bijzonder,433586100,www.stellamariscollege.nl,VBO/MAVO/HAVO/VWO,Zuid
Limburg,41391,20KA,20KA00,Scholengemeenschap Groenewald voor Vmbo Havo VWO,Kinskystraat,15,6171 LX,STEIN,STEIN,Bijzonder,464332820,www.groenewald.nl,VBO/MAVO/HAVO/VWO,Zuid
Limburg,41391,20LL,20LL00,Bouwens van der Boije College voor Lyceum Havo Mavo Lwoo Vbo,Min. Calsstraat,10,5981 VT,PANNINGEN,PEEL EN MAAS,Bijzonder,773068888,www.hetbouwens.nl,VBO/MAVO/HAVO/VWO,Zuid
Limburg,41391,25FY,25FY00,Raayland College RK SGM v Gymn Ath Havo Mavo Vmbo Pro,Leunseweg,6,5802 CH,VENRAY,VENRAY,Bijzonder,478551155,www.raayland.nl,VBO/MAVO/HAVO/VWO/PRO,Zuid
Limburg,41391,25GF,25GF00,Dendroncollege RK SGM v Lyc Havo Mavo Vbo Lwoo,Gebr. van Doornelaan,124,5961 BE,HORST,HORST AAN DE MAAS,Bijzonder,773970880,www.dendron.nl,VBO/MAVO/HAVO/VWO,Zuid
Limburg,41391,25GF,25GF01,Dendroncollege RK SGM v Lyc Havo Mavo Vbo Lwoo,Gebr. van Doornelaan,124,5961 BE,HORST,HORST AAN DE MAAS,Bijzonder,773970880, ,BRUGJAAR,Zuid
Limburg,41391,26HL,26HL00,Terra Nigra Praktijkonderwijs,Terra nigrastraat,5,6216 BK,MAASTRICHT,MAASTRICHT,Bijzonder,433621079,www.terranigra.nl,PRO,Zuid
Limburg,41391,27VG,27VG00,Porta Mosana College Vwo Havo Mavo Vbo,Oude Molenweg,130,6228 XW,MAASTRICHT,MAASTRICHT,Openbaar,432410410,www.uwcmaastricht.nl,VBO/MAVO/HAVO/VWO,Zuid
Limburg,41391,27VG,27VG01,Porta Mosana College Vwo Havo Mavo Vbo,Bemelergrubbe,2,6226 NK,MAASTRICHT,MAASTRICHT,Openbaar,433526868,www.vmbomaastricht.nl,VBO/MAVO,Zuid
Limburg,41391,27VG,27VG04,Porta Mosana College Vwo Havo Mavo Vbo loc. United World College Maastricht,Discusworp,65,6225 XP,MAASTRICHT,MAASTRICHT,Openbaar,432410410,www.uwcmaastricht.nl,VBO/MAVO/HAVO/VWO,Zuid
Limburg,41391,27ZH,27ZH00,Sint-Maartenscollege,Bemelerweg,1,6226 NE,MAASTRICHT,MAASTRICHT,Bijzonder,433526868,www.vmbomaastricht.nl,VBO/MAVO,Zuid
Limburg,41391,27ZH,27ZH02,Sint-Maartenscollege,Noormannensingel,50,6224 BW,MAASTRICHT,MAASTRICHT,Bijzonder,433526700, ,VBO/MAVO/HAVO/VWO,Zuid
